inputs,label
"[-0.13844036803610593, 0.053236528392034965, -0.027309465515819753, 0.0035968484741469575, -0.13083933820064098, -0.00022473924039373427, -0.057231197071087925, 0.011031326422729304, -0.016403839949557908, 0.0637270564568358, -0.07081214065875484, 0.05418160158300833, -0.020986613157366843, 0.0025066111224030657, -0.1673039636318724, 0.021183331496764116, 0.09037510767699086, 0.006841541356800089, 0.0002550904027399936, 0.0235294117647058, 0.0562091503267973, -0.0370588235294117]",1
"[-0.146565405881652, 0.1336074206912619, -0.037328835014477896, 0.009024571884043625, -0.11870650081143291, -0.034560554498806295, 0.019387282582640553, -0.004159774828510793, 0.0030900824859985965, -0.020673136397723113, -0.10720922094429731, 0.07565888331237342, -0.011329109382557698, 0.0436900234162875, -0.049595291590864066, -0.00911283016869488, 0.08629889671140564, -0.01020346297400497, -0.011212697155550636, 0.1607843137254903, 0.12069716775599132, 0.07470588235294123]",1
"[-0.11760781812012872, 0.06569928848753853, -0.03343324301985637, 0.008888325503230599, -0.10215560055179912, -0.0073115560263483925, -0.06433713006865427, -0.009190362780567618, -0.03007763410362818, 0.057336789018150036, -0.05693252599046576, 0.04428712990126138, -0.012383083106252732, 0.03346882712342367, -0.12650936414555075, 0.004975492581294427, 0.07096832816755128, -0.004774787335068489, -0.00635471524133395, -0.033333333333333326, 0.010457516339869244, -0.11176470588235277]",1
"[-0.021984661063596422, 0.014558556595502703, -0.023845713603617147, 0.0010107588377789856, -0.12131263008056264, -0.022610084811023112, -0.023250328549893284, 0.008024011540453874, -9.329363343521524e-05, -0.013771823615373047, -0.012632337447062103, -0.008838419642777151, -0.006701531900691005, -0.009346379519134154, -0.0395803064568655, 0.032101463081133416, 0.02587222928221869, 0.011152960891683605, 0.009767895734285735, 0.11176470588235299, -0.021350762527233114, 0.04549019607843141]",1
"[0.05676283666856913, -0.0769703827799707, -0.008890926849421, -0.029653553364259982, 0.04864953603460337, 0.028565639003460708, -0.016472259589405014, -0.008228297662087464, 0.007919602281543314, -0.0103785479672312, 0.057944657341221686, -0.04206021737888853, -0.0014686318037192142, 0.06484978848289402, 0.005295269457719354, -0.03916602336364597, 0.05227549627218524, -0.03006781374700411, -0.01829916257941608, 0.015294117647058791, -0.0017429193899781703, -0.07823529411764713]",1
"[0.04355332485961255, -0.09037349154958502, -0.030349165882962104, -0.04463968521322728, -0.0730653932582962, -0.03555987788580678, -0.014062993998642748, 0.00770128219170052, 0.010635445582493519, -0.026303228428510572, 0.04434484645983339, -0.08299155695598386, 0.009929596838522695, 0.012341019554655268, 0.026368322442190173, 0.0204143927215186, -0.012059886136141618, -0.04173556099960135, -0.04026202104929269, -0.009019607843137156, 0.019172113289760317, -0.044901960784313744]",1
"[-0.008577805978533526, 0.021109337282928742, -0.005782745211256435, 0.0018771393407391312, 0.003920105140238328, 0.007652176462201066, -0.024015951659961288, 0.021043295633251774, 0.0055010431649880065, -0.028598416871574217, -0.002579825462606461, -0.003125299850486138, -0.0012912471498285616, 0.04790496435834084, 0.026358624492982652, -0.020709800415955604, 0.024858067920342064, -0.02311335031082995, -0.013458967261197885, 0.087843137254902, -0.014814814814814836, 0.1745098039215685]",1
"[-0.03520109432443441, 0.0014125510956833898, -0.008945538389708102, -0.0058723042712931495, 0.10624330802480808, 0.020010668252183922, -0.022147192224977075, 0.04530232332910414, 0.019340941184305238, -0.015472249508228786, -0.006664062949485017, -0.010152642629030234, -0.024882009738459637, 0.06843895007945525, -0.01011309743807115, -0.033172827684292194, 0.06357817820870958, -0.04295014443806952, -0.030932888038620904, -0.09215686274509804, 0.006100217864923763, 0.256470588235294]",1
"[-0.009698419920740053, 0.0019649481141977287, 0.0002999845934265333, 0.007809136462778199, -0.009371388923178958, 0.01336090277005364, 0.003296242402593297, -0.03924402558496483, -0.001954234766523094, 0.03483207749305556, -0.0046932967986611784, 0.016736283211960065, -0.003072575466977895, -0.022215595683004366, -0.004767432542572059, -0.01224775372915822, -0.017711693616261265, 0.00963107579022525, 0.008826380430772052, -0.08666666666666667, -0.1311546840958605, -0.18607843137254898]",1
"[-0.019526734228653364, -0.002725270083780762, -0.006190648103008317, -0.001397347120119713, -0.05946262462146645, -0.03327350692518635, -0.009260175898131329, -0.0024245131007499393, -0.01646095436001832, -0.019382006805274632, -0.030784022801709637, 0.01942741852093277, 0.02619862014375117, -0.0004603047004667002, 0.02582538729339784, 0.015471077721442683, -0.023125661688415344, 0.012451402407374357, 0.004366144260399815, -0.05294117647058827, 0.09629629629629627, 0.17098039215686284]",1
